collision_datetime,latitude,longitude,record_count
2006-01-01,,,13
2006-01-02,,,2
2006-01-10,,,2
2006-01-14,,,3
2006-01-22,,,3
2006-01-24,,,7
2006-02-03,,,4
2006-02-08,,,2
2006-02-12,,,12
2006-02-13,,,3
2006-02-14,,,6
2006-02-15,,,3
2006-02-16,,,2
2006-02-20,,,2
2006-02-23,,,3
2006-02-24,,,3
2006-02-26,,,11
2006-02-27,,,3
2006-03-11,,,4
2006-03-12,,,3
2006-03-16,,,9
2006-03-17,,,2
2006-03-18,,,6
2006-03-19,,,3
2006-03-20,,,2
2006-04-04,,,2
2006-04-18,,,3
2006-04-20,,,3
2006-04-23,,,3
2006-04-25,,,11
2006-04-26,,,3
2006-04-30,,,2
2006-05-03,,,2
2006-05-05,,,4
2006-05-09,,,4
2006-05-11,,,5
2006-05-14,,,5
2006-05-20,,,5
2006-05-24,,,2
2006-05-28,,,5
2006-06-02,,,2
2006-06-05,,,8
2006-06-07,,,4
2006-06-10,,,2
2006-06-13,,,6
2006-06-14,,,3
2006-06-15,,,2
2006-06-17,,,3
2006-06-18,,,2
2006-06-21,,,5
2006-06-24,,,3
2006-06-29,,,3
2006-06-30,,,8
2006-07-07,,,4
2006-07-11,,,2
2006-07-12,,,2
2006-07-14,,,3
2006-07-22,,,3
2006-07-23,,,2
2006-07-26,,,2
2006-07-30,,,2
2006-07-31,,,3
2006-08-03,,,16
2006-08-05,,,11
2006-08-06,,,2
2006-08-08,,,2
2006-08-12,,,5
2006-08-15,,,6
2006-08-20,,,5
2006-08-21,,,2
2006-08-23,,,4
2006-08-24,,,5
2006-08-29,,,2
2006-08-31,,,4
2006-09-02,,,4
2006-09-05,,,3
2006-09-09,,,10
2006-09-17,,,5
2006-09-19,,,2
2006-09-20,,,6
2006-09-22,,,3
2006-09-25,,,2
2006-09-28,,,2
2006-09-29,,,3
2006-09-30,,,5
2006-10-01,,,2
2006-10-02,,,2
2006-10-04,,,3
2006-10-06,,,2
2006-10-07,,,2
2006-10-09,,,1
2006-10-10,,,2
2006-10-16,,,2
2006-10-18,,,5
2006-10-26,,,2
2006-10-29,,,5
2006-11-03,,,5
2006-11-11,,,6
2006-11-12,,,4
2006-11-17,,,2
2006-11-19,,,2
2006-11-21,,,2
2006-11-30,,,4
2006-12-05,,,2
2006-12-07,,,2
2006-12-10,,,5
2006-12-13,,,3
2006-12-16,,,4
2006-12-23,,,3
2006-12-24,,,10
2006-12-25,,,4
2006-12-28,,,2
2007-01-01,,,4
2007-01-04,,,2
2007-01-12,,,3
2007-01-14,,,4
2007-01-18,,,6
2007-01-19,,,2
2007-01-23,,,4
2007-02-05,,,6
2007-02-06,,,5
2007-02-07,,,3
2007-02-08,,,4
2007-02-09,,,6
2007-02-10,,,5
2007-02-11,,,3
2007-02-12,,,4
2007-02-13,,,4
2007-02-14,,,2
2007-02-23,,,2
2007-02-25,,,3
2007-03-03,,,8
2007-03-04,,,3
2007-03-05,,,6
2007-03-06,,,6
2007-03-09,,,2
2007-03-14,,,5
2007-03-16,,,2
2007-03-17,,,4
2007-03-23,,,6
2007-03-24,,,3
2007-03-28,,,6
2007-03-31,,,3
2007-04-08,,,8
2007-04-17,,,8
2007-04-22,,,3
2007-04-28,,,3
2007-04-30,,,2
2007-05-07,,,5
2007-05-09,,,2
2007-05-10,,,2
2007-05-17,,,4
2007-05-18,,,6
2007-05-20,,,2
2007-05-21,,,7
2007-05-28,,,3
2007-06-02,,,11
2007-06-08,,,6
2007-06-09,,,2
2007-06-14,,,3
2007-06-17,,,6
2007-06-20,,,3
2007-06-21,,,10
2007-06-25,,,5
2007-06-30,,,2
2007-07-01,,,3
2007-07-02,,,4
2007-07-05,,,3
2007-07-07,,,2
2007-07-14,,,2
2007-07-15,,,3
2007-07-18,,,2
2007-07-20,,,5
2007-07-21,,,2
2007-07-23,,,3
2007-07-24,,,3
2007-07-26,,,2
2007-07-27,,,4
2007-07-29,,,2
2007-07-30,,,4
2007-08-01,,,4
2007-08-09,,,4
2007-08-10,,,5
2007-08-11,,,11
2007-08-13,,,7
2007-08-17,,,2
2007-08-28,,,6
2007-09-02,,,13
2007-09-03,,,2
2007-09-04,,,1
2007-09-05,,,3
2007-09-06,,,2
2007-09-07,,,2
2007-09-09,,,3
2007-09-11,,,2
2007-09-14,,,2
2007-09-18,,,2
2007-09-22,,,7
2007-09-24,,,2
2007-09-26,,,3
2007-09-30,,,6
2007-10-01,,,3
2007-10-08,,,2
2007-10-15,,,3
2007-10-21,,,8
2007-10-22,,,3
2007-10-23,,,3
2007-10-24,,,3
2007-11-01,,,5
2007-11-03,,,4
2007-11-06,,,7
2007-11-08,,,2
2007-11-09,,,2
2007-11-13,,,4
2007-11-15,,,3
2007-11-17,,,3
2007-11-18,,,2
2007-11-23,,,8
2007-11-25,,,2
2007-11-28,,,4
2007-11-29,,,2
